type,step,key,value
parameter,0,dataset,wikidata5mpykeen
parameter,0,model.cls,TransE
parameter,0,model.kwargs.embedding_dim,100
parameter,0,optimizer.cls,Adam
parameter,0,optimizer.kwargs,
parameter,0,negative_sampler.cls,BasicNegativeSampler
parameter,0,negative_sampler.kwargs,
parameter,0,training_loop.cls,SLCWATrainingLoop
parameter,0,training.num_epochs,80
parameter,0,training.checkpoint_name,checkpoint_TransE_fullW5M_80epochs.pt
parameter,0,training.checkpoint_frequency,30
parameter,0,training.checkpoint_directory,/hpi/fs00/scratch/lena.schwertmann/pycharm_master_thesis/results/TransE_fullW5M_80epochs/checkpoints
parameter,0,training.checkpoint_on_failure,True
metric,80,rank_std.head.realistic,267431.632952761
metric,80,rank_std.head.pessimistic,267431.710052448
metric,80,rank_std.head.optimistic,267431.55585320794
metric,80,rank_std.both.realistic,198804.29830968016
metric,80,rank_std.both.pessimistic,198804.3597548879
metric,80,rank_std.both.optimistic,198804.23686456823
metric,80,rank_var.tail.realistic,803395712.8229781
metric,80,rank_var.tail.pessimistic,803396564.118038
metric,80,rank_var.tail.optimistic,803394861.5320858
metric,80,rank_var.head.realistic,71519678303.7803
metric,80,rank_var.head.pessimistic,71519719541.57661
metric,80,rank_var.head.optimistic,71519637066.06747
metric,80,rank_var.both.realistic,39523149026.4043
metric,80,rank_var.both.pessimistic,39523173457.550896
metric,80,rank_var.both.optimistic,39523124595.30335
metric,80,rank_mad.tail.realistic,91.0
metric,80,rank_mad.tail.pessimistic,91.0
metric,80,rank_mad.tail.optimistic,91.0
metric,80,rank_mad.head.realistic,16919.0
metric,80,rank_mad.head.pessimistic,16919.0
metric,80,rank_mad.head.optimistic,16919.0
metric,80,rank_mad.both.realistic,1717.0
metric,80,rank_mad.both.pessimistic,1717.0
metric,80,rank_mad.both.optimistic,1717.0
metric,80,hits_at_k.tail.realistic.1,0.048023238498554735
metric,80,hits_at_k.tail.realistic.3,0.10894168140491738
metric,80,hits_at_k.tail.realistic.5,0.1561714002460115
metric,80,hits_at_k.tail.realistic.10,0.247364963965232
